2021-06-10 19:38:20,605 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:39:45,272 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:39:45,279 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 19:39:45,309 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:39:45,338 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:39:55,200 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:39:55,203 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 19:39:55,204 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:39:55,206 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:40:38,835 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:40:38,852 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 19:40:38,871 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:40:38,874 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 23:28:53,947 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:28:54,040 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 23:28:54,043 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:28:54,044 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 23:29:01,325 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:29:01,335 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 23:29:01,340 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 23:29:01,342 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 23:29:34,259 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
